,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,temp_F,month,Season,date,date_YM
35838,None,293.72,0.0,0.0,1,Clear,sky is clear,2017-08-01 01:00:00,406,69.0260000000001,8,Summer,2017-08-01,2017-08
35839,None,293.29,0.0,0.0,1,Clear,sky is clear,2017-08-01 02:00:00,307,68.25200000000008,8,Summer,2017-08-01,2017-08
35840,None,292.44,0.0,0.0,1,Clear,sky is clear,2017-08-01 03:00:00,385,66.72200000000004,8,Summer,2017-08-01,2017-08
35841,None,291.53,0.0,0.0,1,Clear,sky is clear,2017-08-01 04:00:00,926,65.08399999999999,8,Summer,2017-08-01,2017-08
35842,None,290.99,0.0,0.0,1,Clear,sky is clear,2017-08-01 05:00:00,3015,64.11200000000005,8,Summer,2017-08-01,2017-08
35843,None,291.3,0.0,0.0,1,Clear,sky is clear,2017-08-01 06:00:00,5840,64.67000000000006,8,Summer,2017-08-01,2017-08
35844,None,290.58,0.0,0.0,1,Mist,mist,2017-08-01 07:00:00,6440,63.37400000000001,8,Summer,2017-08-01,2017-08
35845,None,292.53,0.0,0.0,1,Clear,sky is clear,2017-08-01 08:00:00,6052,66.88399999999999,8,Summer,2017-08-01,2017-08
35846,None,294.86,0.0,0.0,75,Clouds,broken clouds,2017-08-01 09:00:00,4913,71.07800000000006,8,Summer,2017-08-01,2017-08
35847,None,296.53,0.0,0.0,75,Clouds,broken clouds,2017-08-01 10:00:00,4436,74.08399999999999,8,Summer,2017-08-01,2017-08
35848,None,298.64,0.0,0.0,40,Clouds,scattered clouds,2017-08-01 11:00:00,4779,77.88200000000002,8,Summer,2017-08-01,2017-08
35849,None,300.07,0.0,0.0,1,Clear,sky is clear,2017-08-01 12:00:00,5132,80.45600000000003,8,Summer,2017-08-01,2017-08
35850,None,301.07,0.0,0.0,75,Clouds,broken clouds,2017-08-01 13:00:00,5034,82.25600000000003,8,Summer,2017-08-01,2017-08
35851,None,301.92,0.0,0.0,75,Clouds,broken clouds,2017-08-01 14:00:00,5018,83.78600000000007,8,Summer,2017-08-01,2017-08
35852,None,302.61,0.0,0.0,40,Clouds,scattered clouds,2017-08-01 15:00:00,5714,85.02800000000006,8,Summer,2017-08-01,2017-08
35853,None,303.29,0.0,0.0,40,Thunderstorm,proximity thunderstorm,2017-08-01 16:00:00,6651,86.25200000000008,8,Summer,2017-08-01,2017-08
35854,None,303.15,0.0,0.0,20,Clouds,few clouds,2017-08-01 17:00:00,6136,86.0,8,Summer,2017-08-01,2017-08
35855,None,303.07,0.0,0.0,5,Clear,sky is clear,2017-08-01 18:00:00,4281,85.85600000000002,8,Summer,2017-08-01,2017-08
35856,None,301.9,0.0,0.0,5,Clear,sky is clear,2017-08-01 19:00:00,3374,83.75,8,Summer,2017-08-01,2017-08
35857,None,300.3,0.0,0.0,5,Clear,sky is clear,2017-08-01 20:00:00,3023,80.87000000000006,8,Summer,2017-08-01,2017-08
